2018-06-02 23:37:34,649 | fileLogger | INFO | ['aaaaaaa.xti', 'Performance_100KB.xti', 'Performance_60KB.xti', 'Polling_default.xti', 'Polling_default_2.xti', 'PPS96_1.xti', 'PPS96_2.xti', 'PPS96_3.xti', 'PPS97_1.xti', 'PPS97_2.xti', 'PPS97_3.xti', 'Refresh 00 - init + Full FCN_CU_CMCC.xti', 'Refresh 00 - init + Full FCN__CMCC_CU.xti', 'Refresh 03 - init_CMCC_CU.xti', 'Register_3G.xti', 'Register_4G.xti', 'Timeout_DT.xti', 'Timeout_GI.xti', 'Timeout_SI.xti']
2018-06-02 23:37:34,650 | fileLogger | INFO | **********************************************************
2018-06-02 23:37:34,650 | fileLogger | INFO | Cannot match trace name 'aaaaaaa.xti' with operated file.
2018-06-02 23:37:34,651 | fileLogger | INFO | Please check trace name and be sure the naming is lawful.
2018-06-02 23:37:34,651 | fileLogger | INFO | **********************************************************
2018-06-02 23:37:35,360 | fileLogger | INFO | Time stamp of close channel : 1527146464382
2018-06-02 23:37:35,360 | fileLogger | INFO | Time stamp of open channel : 1527146388552
2018-06-02 23:37:35,376 | fileLogger | INFO | Performance_100KB.xti : 75.830 s
2018-06-02 23:37:35,379 | fileLogger | INFO | **********************************************************
2018-06-02 23:37:35,938 | fileLogger | INFO | Time stamp of close channel : 1527146858814
2018-06-02 23:37:35,954 | fileLogger | INFO | Time stamp of open channel : 1527146812196
2018-06-02 23:37:35,954 | fileLogger | INFO | Performance_60KB.xti : 46.618 s
2018-06-02 23:37:35,957 | fileLogger | INFO | **********************************************************
2018-06-02 23:37:36,280 | fileLogger | INFO | Time stamp of first SW : 1525664151846
2018-06-02 23:37:36,280 | fileLogger | INFO | Time stamp of second SW : 1525664179885
2018-06-02 23:37:36,287 | fileLogger | INFO | Polling_default.xti : 28.039 s
2018-06-02 23:37:36,294 | fileLogger | INFO | **********************************************************
2018-06-02 23:37:36,295 | fileLogger | INFO | Failed to parse Polling_default_2.xti .
2018-06-02 23:37:36,295 | fileLogger | INFO | Cannot work out the time and please check trace manually.
2018-06-02 23:37:36,298 | fileLogger | INFO | **********************************************************
2018-06-02 23:37:36,541 | fileLogger | INFO | Time stamp of ATR : 1526362790543
2018-06-02 23:37:36,541 | fileLogger | INFO | Time stamp of last command before continuous SW : 1526362829129
2018-06-02 23:37:36,549 | fileLogger | INFO | PPS96_1.xti : 38.586 s
2018-06-02 23:37:36,555 | fileLogger | INFO | **********************************************************
2018-06-02 23:37:36,854 | fileLogger | INFO | Time stamp of ATR : 1526363158123
2018-06-02 23:37:36,854 | fileLogger | INFO | Time stamp of last command before continuous SW : 1526363207961
2018-06-02 23:37:36,854 | fileLogger | INFO | PPS96_2.xti : 49.838 s
2018-06-02 23:37:36,867 | fileLogger | INFO | **********************************************************
2018-06-02 23:37:37,056 | fileLogger | INFO | Time stamp of ATR : 1526363527672
2018-06-02 23:37:37,072 | fileLogger | INFO | Time stamp of last command before continuous SW : 1526363550857
2018-06-02 23:37:37,072 | fileLogger | INFO | PPS96_3.xti : 23.185 s
2018-06-02 23:37:37,075 | fileLogger | INFO | **********************************************************
2018-06-02 23:37:37,277 | fileLogger | INFO | Time stamp of ATR : 1526363785747
2018-06-02 23:37:37,279 | fileLogger | INFO | Time stamp of last command before continuous SW : 1526363815098
2018-06-02 23:37:37,280 | fileLogger | INFO | PPS97_1.xti : 29.351 s
